"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"USGS-01118500",1995-07-25,1995-07-25 14:00:00,85,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01170100",2017-10-10,2017-10-10 16:00:00,52,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01203000",2020-07-27,2020-07-27 13:00:00,89,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01169900",1994-10-06,1994-10-06 16:15:00,95,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01174570",1988-04-19,1988-04-19 18:30:00,22,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"CT_DEP01_WQX-15796",2011-10-11,2011-10-11 15:43:00,27,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"CT_DEP01_WQX-16139",2011-10-21,2011-10-21 15:03:00,38,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"CT_DEP01_WQX-14361",2011-10-24,2011-10-24 17:10:00,207,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"CT_DEP01_WQX-15854",2014-10-14,2014-10-14 15:29:00,188,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"21NYDECA_WQX-17024101",2014-10-27,2014-10-27 14:30:00,97,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"USGS-01196500",2017-10-16,2017-10-16 13:15:00,286,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"21NYDECA_WQX-17024101",2014-04-21,2014-04-21 15:00:00,113,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"USGS-01189995",2017-08-24,2017-08-24 17:00:00,126,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"21NYDECA_WQX-17023312",2014-05-12,2014-05-12 15:15:00,534,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"21NYDECA_WQX-17025100",2014-04-23,2014-04-23 07:05:00,352,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"21NYDECA_WQX-17023312",2014-06-16,2014-06-16 15:00:00,531,"mgLTDS","Total dissolved solids",NA,NA,"Total",0
"21NYDECA_WQX-17025100",2014-06-16,2014-06-16 16:30:00,323,"mgLTDS","Total dissolved solids",NA,NA,"Total",0
"CT_DEP01_WQX-15087",2014-10-14,2014-10-14 13:22:00,173,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01161240",1973-10-02,1973-10-02 22:00:00,14,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01208990",2017-04-04,2017-04-04 15:00:00,125,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01208990",2017-04-04,2017-04-04 15:00:00,113,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"21NYDECA_WQX-17023312",2014-09-24,2014-09-24 15:05:00,688,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"21NYDECA_WQX-17025100",2014-10-28,2014-10-28 16:10:00,522,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"21NYDECA_WQX-17023312",2014-04-23,2014-04-23 16:55:00,580,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"USGS-01127000",2017-05-08,2017-05-08 14:45:00,82,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01127000",2017-05-08,2017-05-08 14:45:00,74,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01208500",2017-08-01,2017-08-01 15:00:00,243,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"21NYDECA_WQX-17024101",2014-08-04,2014-08-04 13:30:00,89,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"USGS-01205500",2017-05-17,2017-05-17 19:45:00,139,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"21NYDECA_WQX-17023312",2014-10-28,2014-10-28 15:00:00,575,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"CT_DEP01_WQX-16139",2014-09-29,2014-09-29 17:23:00,110,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01208500",2017-09-14,2017-09-14 15:00:00,270,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01208500",2017-09-14,2017-09-14 15:00:00,251,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01170100",2017-08-22,2017-08-22 13:10:00,61,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"CT_DEP01_WQX-14461",2014-09-24,2014-09-24 15:36:00,155,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"21NYDECA_WQX-17023312",2014-08-04,2014-08-04 13:55:00,553,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"CT_DEP01_WQX-15796",2014-09-16,2014-09-16 14:21:00,51,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01170100",1995-04-25,1995-04-25 13:30:00,54,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-01170100",1995-04-25,1995-04-25 13:30:00,49,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"USGS-01198125",2018-08-20,2018-08-20 15:00:00,117,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01192050",2019-10-09,2019-10-09 13:15:00,185,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01201487",2019-08-22,2019-08-22 14:45:00,448,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01201487",2019-08-22,2019-08-22 14:45:00,428,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"21NYDECA_WQX-17024101",2014-06-16,2014-06-16 15:00:00,104,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"USGS-01125100",2019-09-04,2019-09-04 15:00:00,104,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01189995",2017-04-06,2017-04-06 15:45:00,101,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01188090",2017-04-06,2017-04-06 12:15:00,66,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01170100",2019-04-29,2019-04-29 15:50:00,44,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01170100",2019-04-29,2019-04-29 15:50:00,40,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"21NYDECA_WQX-17025100",2014-05-12,2014-05-12 16:20:00,357,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"USGS-01198125",2017-09-27,2017-09-27 15:00:00,266,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01192050",2017-10-26,2017-10-26 13:30:00,88,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01192050",2017-10-26,2017-10-26 13:30:00,71,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01200600",2017-08-21,2017-08-21 16:45:00,235,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01200600",2017-08-21,2017-08-21 16:45:00,225,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01125100",2017-09-12,2017-09-12 15:15:00,195,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01125100",2017-09-12,2017-09-12 15:15:00,169,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01184000",2017-06-26,2017-06-26 14:30:00,70,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01127000",2019-07-25,2019-07-25 14:00:00,98,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01170100",2017-06-21,2017-06-21 14:40:00,43,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
